binom_alpha,word1,word2,count_w1,count_w2,count_and,count_w1_and,count_and_w2,count_w2_and,count_and_w1,p_and_given_w1,p_w2_given_and,p_and_given_w2,p_w1_given_and,bigram_alpha,bigram_nonalpha
abashed and sorry,abashed,sorry,142,20966,2218200,28,70,228,10,0.045454545454545456,3.200077883585674e-05,0.010670021433230826,4.957867143583438e-06,1.4545808561753064e-06,5.2900548685146184e-08
abbots and acolytes,abbots,acolytes,34,4,2218200,3,0,0,3,0.007547169811320755,4.5071519487122165e-07,0.002,1.8028607794848866e-06,3.401624112235635e-09,3.605721558969773e-09
abysses and puddles,abysses,puddles,8,106,2218200,4,5,12,1,0.00992063492063492,2.70429116922733e-06,0.02159468438538206,9.014303897424433e-07,2.6828285409001286e-08,1.9466104761880004e-08
acorns and boulders,acorns,boulders,125,159,2218200,30,13,31,9,0.0499194847020934,6.310012728197103e-06,0.04885496183206107,4.507151948712216e-06,3.149925838552499e-07,2.20196736425635e-07
acorns and goblets,acorns,goblets,125,30,2218200,30,3,8,9,0.0499194847020934,1.8028607794848866e-06,0.017110266159695818,4.507151948712216e-06,8.999788110149997e-08,7.71185694646577e-08
acorns and lions,acorns,lions,125,1044,2218200,30,55,182,9,0.0499194847020934,2.5240050912788412e-05,0.11883116883116883,4.507151948712216e-06,1.2599703354209996e-06,5.35590134165153e-07
acorns and tigers,acorns,tigers,125,862,2218200,30,97,139,9,0.0499194847020934,4.417008909737972e-05,0.10309278350515463,4.507151948712216e-06,2.2049480869867493e-06,4.646548400734243e-07
acorns and valleys,acorns,valleys,125,411,2218200,30,56,85,9,0.0499194847020934,2.5690766107659634e-05,0.09481808158765159,4.507151948712216e-06,1.2824698056963746e-06,4.273595012009378e-07
actresses and lumberjacks,actresses,lumberjacks,167,10,2218200,15,0,2,27,0.024132730015082957,4.5071519487122165e-07,0.005928853754940711,1.2620025456394206e-05,1.0876988111522695e-08,7.482228531459015e-08
admirals and deckhands,admirals,deckhands,75,3,2218200,9,0,1,2,0.017513134851138354,4.5071519487122165e-07,0.004008016032064128,1.352145584613665e-06,7.893435987236807e-09,5.419421180816292e-09
admirals and flowers,admirals,flowers,75,5935,2218200,9,364,960,2,0.017513134851138354,0.0001645110461279959,0.149432436635049,1.352145584613665e-06,2.8811041353414344e-06,2.0205440939414274e-07
admirals and knitting,admirals,knitting,75,401,2218200,9,18,55,2,0.017513134851138354,8.563588702553212e-06,0.06243032329988852,1.352145584613665e-06,1.4997528375749933e-07,8.441488599594786e-08
admirals and paupers,admirals,paupers,75,22,2218200,9,7,4,2,0.017513134851138354,3.6057215589697732e-06,0.009652509652509652,1.352145584613665e-06,6.314748789789445e-08,1.3051598307081708e-08
admirals and ribbons,admirals,ribbons,75,439,2218200,9,31,93,2,0.017513134851138354,1.4422886235879093e-05,0.10053475935828877,1.352145584613665e-06,2.525899515915778e-07,1.359376309665075e-07
admirals and weavers,admirals,weavers,75,54,2218200,9,4,10,2,0.017513134851138354,2.253575974356108e-06,0.02,1.352145584613665e-06,3.946717993618403e-08,2.70429116922733e-08
allergic and unaccustomed,allergic,unaccustomed,274,137,2218200,0,7,4,2,0.0012987012987012987,3.6057215589697732e-06,0.007898894154818325,1.352145584613665e-06,4.682755271389316e-09,1.0680454854768285e-08
amber and gravel,amber,gravel,405,419,2218200,23,50,47,32,0.026637069922308545,2.2986474938432305e-05,0.05245901639344262,1.4873601430750315e-05,6.122923402024143e-07,7.802545012852625e-07
amethysts and pebbles,amethysts,pebbles,6,302,2218200,1,31,40,0,0.00398406374501992,1.4422886235879093e-05,0.05137844611528822,4.5071519487122165e-07,5.746169815091272e-08,2.315704635303269e-08
amphitheaters and gazebos,amphitheaters,gazebos,4,2,2218200,0,0,2,0,0.002,4.5071519487122165e-07,0.006024096385542169,4.5071519487122165e-07,9.014303897424433e-10,2.7151517763326606e-09
annoying and teal,annoying,teal,671,260,2218200,19,7,2,22,0.01713796058269066,3.6057215589697732e-06,0.003968253968253968,1.0366449482038099e-05,6.179471394978189e-08,4.113670429380198e-08
anthills and volcanoes,anthills,volcanoes,1,245,2218200,0,11,18,0,0.002012072434607646,5.40858233845466e-06,0.02564102564102564,4.5071519487122165e-07,1.0882459433510382e-08,1.1556799868492862e-08
ants and giraffes,ants,giraffes,579,248,2218200,68,40,41,26,0.0641860465116279,1.8479322989720087e-05,0.056451612903225805,1.2169310261522984e-05,1.1861146849215683e-06,6.869771921827491e-07
ants and stars,ants,stars,579,6273,2218200,68,181,592,26,0.0641860465116279,8.203016546656234e-05,0.08760525927020239,1.2169310261522984e-05,5.265192015993303e-06,1.0660955806002555e-06
anvils and coins,anvils,coins,9,688,2218200,3,24,80,0,0.007920792079207921,1.1267879871780541e-05,0.06841216216216216,4.5071519487122165e-07,8.925053363786567e-08,3.0834401000480534e-08
aprons and swords,aprons,swords,102,689,2218200,27,62,166,9,0.046822742474916385,2.8395057276886964e-05,0.1409282700421941,4.507151948712216e-06,1.3295344544361787e-06,6.351851269493166e-07
archbishops and millers,archbishops,millers,31,38,2218200,8,1,5,5,0.017077798861480076,9.014303897424433e-07,0.011235955056179775,2.70429116922733e-06,1.539444688364704e-08,3.0385294036262134e-08
archdukes and tanners,archdukes,tanners,1,10,2218200,1,0,1,0,0.004024144869215292,4.5071519487122165e-07,0.003952569169960474,4.5071519487122165e-07,1.8137432389183972e-09,1.781482983680718e-09
archdukes and vagrants,archdukes,vagrants,1,34,2218200,1,4,7,0,0.004024144869215292,2.253575974356108e-06,0.01509433962264151,4.5071519487122165e-07,9.068716194591985e-09,6.80324822447127e-09
archipelagos and sandbars,archipelagos,sandbars,5,9,2218200,0,5,1,0,0.001996007984031936,2.70429116922733e-06,0.0039603960396039604,4.5071519487122165e-07,5.3977867649248095e-09,1.7850106727573134e-09
arenas and sheds,arenas,sheds,58,191,2218200,4,17,40,2,0.009025270758122744,8.11287350768199e-06,0.05967976710334789,1.352145584613665e-06,7.322088003323095e-08,8.06957335795637e-08
arrows and flowers,arrows,flowers,929,5935,2218200,169,364,960,276,0.11929824561403508,0.0001645110461279959,0.149432436635049,0.0001248481089793284,1.962587918719951e-05,1.8656357134059182e-05
asteroids and pebbles,asteroids,pebbles,137,302,2218200,16,31,40,9,0.026856240126382307,1.4422886235879093e-05,0.05137844611528822,4.507151948712216e-06,3.8734449606626315e-07,2.315704635303269e-07
avalanches and feathers,avalanches,feathers,28,1400,2218200,2,87,158,3,0.0057251908396946565,3.966293714866751e-05,0.08386075949367089,1.8028607794848866e-06,2.2707788443893612e-07,1.511892742289541e-07
avalanches and murmurs,avalanches,murmurs,28,129,2218200,2,2,11,3,0.0057251908396946565,1.352145584613665e-06,0.0192,1.8028607794848866e-06,7.74129151496373e-09,3.461492696610982e-08
avalanches and snowballs,avalanches,snowballs,28,129,2218200,2,0,12,3,0.0057251908396946565,4.5071519487122165e-07,0.0208,1.8028607794848866e-06,2.5804305049879104e-09,3.749950421328564e-08
axes and flowers,axes,flowers,305,5935,2218200,78,364,960,31,0.0986267166042447,0.0001645110461279959,0.149432436635049,1.4422886235879093e-05,1.622518432473368e-05,2.155247033537523e-06
axes and petals,axes,petals,305,242,2218200,78,5,25,31,0.0986267166042447,2.70429116922733e-06,0.03523035230352303,1.4422886235879093e-05,2.667153587627454e-07,5.081233633236536e-07
axes and ribbons,axes,ribbons,305,439,2218200,78,31,93,31,0.0986267166042447,1.4422886235879093e-05,0.10053475935828877,1.4422886235879093e-05,1.4224819134013088e-06,1.45000139697608e-06
bacteria and candy,bacteria,candy,785,1880,2218200,109,81,182,31,0.0858704137392662,3.6958645979440174e-05,0.07702020202020202,1.4422886235879093e-05,3.173654221497595e-06,1.1108536116017987e-06
ballrooms and cellars,ballrooms,cellars,5,88,2218200,1,6,17,0,0.003992015968063872,3.1550063640985515e-06,0.030821917808219176,4.5071519487122165e-07,1.2594835784824556e-08,1.3891906691236282e-08
banners and rags,banners,rags,208,370,2218200,43,16,69,16,0.0625,7.662158312810768e-06,0.08083140877598152,7.662158312810768e-06,4.78884894550673e-07,6.19343050689092e-07
banquets and crumbs,banquets,crumbs,45,533,2218200,15,12,47,6,0.029574861367837338,5.859297533325882e-06,0.04664723032069971,3.1550063640985515e-06,1.7328791226102422e-07,1.471723085293785e-07
banyans and ferns,banyans,ferns,13,281,2218200,3,23,72,1,0.007858546168958742,1.081716467690932e-05,0.09395109395109395,9.014303897424433e-07,8.500718803072156e-08,8.469037123706353e-08
barns and marbles,barns,marbles,155,376,2218200,48,17,47,20,0.07526881720430108,8.11287350768199e-06,0.05504587155963303,9.465019092295655e-06,6.106463930513326e-07,5.21010225263981e-07
barons and fishermen,barons,fishermen,182,421,2218200,26,16,52,6,0.03982300884955752,7.662158312810768e-06,0.05779716466739367,3.1550063640985515e-06,3.051301982977739e-07,1.8235042235247898e-07
barons and paupers,barons,paupers,182,22,2218200,26,7,4,6,0.03982300884955752,3.6057215589697732e-06,0.009652509652509652,3.1550063640985515e-06,1.4359068155189362e-07,3.045372938319065e-08
barons and weavers,barons,weavers,182,54,2218200,26,4,10,6,0.03982300884955752,2.253575974356108e-06,0.02,3.1550063640985515e-06,8.974417596993351e-08,6.310012728197103e-08
bassoons and kazoos,bassoons,kazoos,19,0,2218200,0,0,0,4,0.001941747572815534,4.5071519487122165e-07,0.0020161290322580645,2.253575974356108e-06,8.75175135672275e-10,4.543499948298605e-09
battleaxes and penknives,battleaxes,penknives,4,3,2218200,1,0,1,2,0.004,4.5071519487122165e-07,0.004008016032064128,1.352145584613665e-06,1.8028607794848866e-09,5.419421180816292e-09
battlements and cobwebs,battlements,cobwebs,50,74,2218200,6,6,13,6,0.01282051282051282,3.1550063640985515e-06,0.02456140350877193,3.1550063640985515e-06,4.044879953972502e-08,7.749138438136793e-08
bears and buttons,bears,buttons,2116,1388,2218200,188,50,152,85,0.0723583460949464,2.2986474938432305e-05,0.08121019108280254,3.876150675892506e-05,1.6632633090978965e-06,3.1478293705496466e-06
bears and kettles,bears,kettles,2116,110,2218200,188,22,22,85,0.0723583460949464,1.0366449482038099e-05,0.037953795379537955,3.876150675892506e-05,7.500991393970906e-07,1.4711462961308192e-06
bears and ribbons,bears,ribbons,2116,439,2218200,188,31,93,85,0.0723583460949464,1.4422886235879093e-05,0.10053475935828877,3.876150675892506e-05,1.0436161939437781e-06,3.896878754373215e-06
bears and seeds,bears,seeds,2116,1382,2218200,188,56,153,85,0.0723583460949464,2.5690766107659634e-05,0.08200212992545261,3.876150675892506e-05,1.858941345462355e-06,3.1785261133516825e-06
bears and teacups,bears,teacups,2116,22,2218200,188,2,4,85,0.0723583460949464,1.352145584613665e-06,0.009652509652509652,3.876150675892506e-05,9.78390181822292e-08,3.741458181363423e-07
beautiful and stinky,beautiful,stinky,13466,260,2218200,714,5,6,575,0.051210428305400374,2.70429116922733e-06,0.009259259259259259,0.0002596119522458237,1.3848790903864353e-07,2.4038143726465155e-06
beetles and hills,beetles,hills,302,3116,2218200,65,59,537,27,0.08270676691729323,2.70429116922733e-05,0.14894795127353266,1.2620025456394206e-05,2.2366317940977915e-06,1.879726936749746e-06
beetles and mammoths,beetles,mammoths,302,24,2218200,65,0,2,27,0.08270676691729323,4.5071519487122165e-07,0.0057692307692307696,1.2620025456394206e-05,3.7277196568296526e-08,7.280783917150504e-08
beetles and mastodons,beetles,mastodons,302,4,2218200,65,0,1,27,0.08270676691729323,4.5071519487122165e-07,0.004,1.2620025456394206e-05,3.7277196568296526e-08,5.0480101825576824e-08
beetles and moons,beetles,moons,302,343,2218200,65,23,24,27,0.08270676691729323,1.081716467690932e-05,0.029797377830750895,1.2620025456394206e-05,8.946527176391166e-07,3.7604366675787265e-07
beggars and captains,beggars,captains,247,339,2218200,18,28,43,11,0.02557200538358008,1.3070740651265428e-05,0.05269461077844311,5.40858233845466e-06,3.342450503015385e-07,2.8500314118802997e-07
beggars and dukes,beggars,dukes,247,173,2218200,18,14,19,11,0.02557200538358008,6.760727923068325e-06,0.029895366218236172,5.40858233845466e-06,1.7288537084562337e-07,1.6169154972958624e-07
bicycles and robots,bicycles,robots,149,236,2218200,31,9,15,10,0.04961240310077519,4.507151948712216e-06,0.02185792349726776,4.957867143583438e-06,2.236106393159549e-07,1.0836868073406423e-07
birdhouses and cathedrals,birdhouses,cathedrals,1,71,2218200,0,13,8,1,0.002012072434607646,6.310012728197103e-06,0.015873015873015872,9.014303897424433e-07,1.269620267242878e-08,1.4308418884800686e-08
birdhouses and skyscrapers,birdhouses,skyscrapers,1,76,2218200,0,3,8,1,0.002012072434607646,1.8028607794848866e-06,0.015734265734265736,9.014303897424433e-07,3.6274864778367944e-09,1.4183345293150334e-08
birdhouses and turrets,birdhouses,turrets,1,63,2218200,0,5,13,1,0.002012072434607646,2.70429116922733e-06,0.025044722719141325,9.014303897424433e-07,5.441229716755191e-09,2.2576074161706987e-08
bishops and blacksmiths,bishops,blacksmiths,357,47,2218200,56,8,8,34,0.0668229777256741,4.056436753840995e-06,0.016574585635359115,1.5775031820492758e-05,2.7106318284752253e-07,2.614646158092722e-07
bishops and potters,bishops,potters,357,43,2218200,56,1,7,34,0.0668229777256741,9.014303897424433e-07,0.014842300556586271,1.5775031820492758e-05,6.0236262855005e-08,2.341377635694658e-07
bishops and seamstresses,bishops,seamstresses,357,6,2218200,56,0,1,34,0.0668229777256741,4.5071519487122165e-07,0.00398406374501992,1.5775031820492758e-05,3.01181314275025e-08,6.284873235256079e-08
bishops and vagabonds,bishops,vagabonds,357,31,2218200,56,8,4,34,0.0668229777256741,4.056436753840995e-06,0.009487666034155597,1.5775031820492758e-05,2.7106318284752253e-07,1.4966823359101288e-07
bison and sparrows,bison,sparrows,125,164,2218200,18,8,30,5,0.030595813204508857,4.056436753840995e-06,0.04696969696969697,2.70429116922733e-06,1.2410998119642337e-07,1.2701973673643517e-07
bitter and purple,bitter,purple,1354,3369,2218200,79,286,278,97,0.043243243243243246,0.00012935526092804062,0.0721862871927555,4.417008909737972e-05,5.593741013104459e-06,3.188474736913051e-06
blacksmiths and lawyers,blacksmiths,lawyers,47,554,2218200,8,31,72,8,0.016574585635359115,1.4422886235879093e-05,0.06952380952380953,4.056436753840995e-06,2.390533630256203e-07,2.820189362194216e-07
blankets and kittens,blankets,kittens,936,511,2218200,195,11,44,89,0.13687150837988826,5.40858233845466e-06,0.044687189672293945,4.056436753840995e-05,7.402808228611126e-07,1.8127075861255688e-06
blizzards and butterflies,blizzards,butterflies,24,673,2218200,6,60,134,2,0.013461538461538462,2.749362688714452e-05,0.11548331907613345,1.352145584613665e-06,3.7010651578848395e-07,1.5615025998532486e-07
blizzards and flurries,blizzards,flurries,24,16,2218200,6,0,2,2,0.013461538461538462,4.5071519487122165e-07,0.005859375,1.352145584613665e-06,6.067319930958753e-09,7.922728034845693e-09
blizzards and mists,blizzards,mists,24,114,2218200,6,6,12,2,0.013461538461538462,3.1550063640985515e-06,0.021311475409836064,1.352145584613665e-06,4.247123951671127e-08,2.881621737701253e-08
bogs and tundras,bogs,tundras,77,3,2218200,24,0,0,3,0.04363001745200698,4.5071519487122165e-07,0.002004008016032064,1.8028607794848866e-06,1.9664711818116127e-08,3.612947453877528e-09
bombs and pebbles,bombs,pebbles,733,302,2218200,81,31,40,23,0.06672091131000814,1.4422886235879093e-05,0.05137844611528822,1.081716467690932e-05,9.623081133784261e-07,5.557691124727846e-07
bonnets and cannons,bonnets,cannons,125,175,2218200,33,18,24,14,0.05475040257648953,8.563588702553212e-06,0.037257824143070044,6.760727923068325e-06,4.6885992896426605e-07,2.5189001203682286e-07
bonnets and shields,bonnets,shields,125,301,2218200,33,20,40,14,0.05475040257648953,9.465019092295655e-06,0.05144291091593475,6.760727923068325e-06,5.182136056973466e-07,3.4779152427327643e-07
bonnets and swords,bonnets,swords,125,689,2218200,33,62,166,14,0.05475040257648953,2.8395057276886964e-05,0.1409282700421941,6.760727923068325e-06,1.55464081709204e-06,9.52777690423975e-07
bonnets and wolves,bonnets,wolves,125,1098,2218200,33,45,151,14,0.05475040257648953,2.0732898964076198e-05,0.09535759096612297,6.760727923068325e-06,1.1351345648608546e-06,6.446867279211954e-07
books and owls,books,owls,10384,375,2218200,1278,20,39,212,0.11755514705882353,9.465019092295655e-06,0.045924225028702644,9.600233650757022e-05,1.112661711309388e-06,4.40883290505489e-06
boulders and butterflies,boulders,butterflies,159,673,2218200,31,60,134,13,0.04885496183206107,2.749362688714452e-05,0.11548331907613345,6.310012728197103e-06,1.3432000921963734e-06,7.287012132648494e-07
boulders and feathers,boulders,feathers,159,1400,2218200,31,87,158,13,0.04885496183206107,3.966293714866751e-05,0.08386075949367089,6.310012728197103e-06,1.937731280545588e-06,5.291624598013394e-07
boulders and marbles,boulders,marbles,159,376,2218200,31,17,47,13,0.04885496183206107,8.11287350768199e-06,0.05504587155963303,6.310012728197103e-06,3.96354125566143e-07,3.4734015017598735e-07
bowls and sharks,bowls,sharks,463,846,2218200,60,26,81,27,0.06360792492179354,1.2169310261522984e-05,0.06110283159463487,1.2620025456394206e-05,7.740645734649657e-07,7.711192901820603e-07
breezes and tornadoes,breezes,tornadoes,176,213,2218200,13,18,12,2,0.020833333333333332,8.563588702553212e-06,0.018335684062059238,1.352145584613665e-06,1.7840809796985857e-07,2.4792514245384545e-08
breezes and typhoons,breezes,typhoons,176,38,2218200,13,8,6,2,0.020833333333333332,4.056436753840995e-06,0.013108614232209739,1.352145584613665e-06,8.450909903835406e-08,1.7724754854486244e-08
bridges and needles,bridges,needles,573,472,2218200,86,56,85,35,0.0813844714686623,2.5690766107659634e-05,0.08884297520661157,1.622574701536398e-05,2.090829421296902e-06,1.4415436397947336e-06
buffaloes and sparrows,buffaloes,sparrows,119,164,2218200,16,8,30,10,0.027642276422764227,4.056436753840995e-06,0.04696969696969697,4.957867143583438e-06,1.1212914604113319e-07,2.3286951735013117e-07
burlap and cashmere,burlap,cashmere,29,72,2218200,3,1,6,0,0.007619047619047619,9.014303897424433e-07,0.01232394366197183,4.5071519487122165e-07,6.8680410647043295e-09,5.55458866918759e-09
burlap and velvet,burlap,velvet,29,660,2218200,3,21,64,0,0.007619047619047619,9.915734287166877e-06,0.056228373702422146,4.5071519487122165e-07,7.554845171174763e-08,2.5342982410579073e-08
butterflies and comets,butterflies,comets,673,102,2218200,134,5,22,60,0.11548331907613345,2.70429116922733e-06,0.038461538461538464,2.749362688714452e-05,3.123005199706497e-07,1.057447187967097e-06
butterflies and earthquakes,butterflies,earthquakes,673,275,2218200,134,8,36,60,0.11548331907613345,4.056436753840995e-06,0.04798962386511025,2.749362688714452e-05,4.6845077995597463e-07,1.3194088130017473e-06
butterflies and floods,butterflies,floods,673,273,2218200,134,17,27,60,0.11548331907613345,8.11287350768199e-06,0.036410923276983094,2.749362688714452e-05,9.369015599119493e-07,1.0010683391938186e-06
butterflies and squalls,butterflies,squalls,673,54,2218200,134,4,7,60,0.11548331907613345,2.253575974356108e-06,0.014545454545454545,2.749362688714452e-05,2.6025043330887475e-07,3.9990730017664754e-07
butterflies and tempests,butterflies,tempests,673,29,2218200,134,3,4,60,0.11548331907613345,1.8028607794848866e-06,0.009523809523809525,2.749362688714452e-05,2.0820034664709983e-07,2.6184406559185257e-07
buttons and castles,buttons,castles,1388,332,2218200,152,25,55,50,0.08121019108280254,1.1718595066651763e-05,0.06763285024154589,2.2986474938432305e-05,9.516693445847769e-07,1.55464081709204e-06
buttons and deer,buttons,deer,1388,2284,2218200,152,51,200,50,0.08121019108280254,2.3437190133303527e-05,0.0723021582733813,2.2986474938432305e-05,1.9033386891695539e-06,1.661971749145645e-06
buttons and foxes,buttons,foxes,1388,344,2218200,152,21,58,50,0.08121019108280254,9.915734287166877e-06,0.07023809523809524,2.2986474938432305e-05,8.05258676187119e-07,1.6145262159136977e-06
buttons and lions,buttons,lions,1388,1044,2218200,152,55,182,50,0.08121019108280254,2.5240050912788412e-05,0.11883116883116883,2.2986474938432305e-05,2.0497493575672116e-06,2.7315096842422802e-06
buttons and mountains,buttons,mountains,1388,4032,2218200,152,116,621,50,0.08121019108280254,5.273367779993293e-05,0.13736749116607774,2.2986474938432305e-05,4.282512050631496e-06,3.157594393044367e-06
buttons and seas,buttons,seas,1388,967,2218200,152,25,139,50,0.08121019108280254,1.1718595066651763e-05,0.09569377990430622,2.2986474938432305e-05,9.516693445847769e-07,2.199662673534192e-06
buttons and whales,buttons,whales,1388,399,2218200,152,33,69,50,0.08121019108280254,1.5324316625621535e-05,0.0782122905027933,2.2986474938432305e-05,1.2444906813800928e-06,1.7978248555198451e-06
cabins and citadels,cabins,citadels,199,16,2218200,29,1,4,6,0.04316546762589928,9.014303897424433e-07,0.009765625,3.1550063640985515e-06,3.891066430542921e-08,3.081060902439992e-08
